Store,Weekday_mean,Weekday_variance,Weekend_mean,Weekend_variance
Countdown Airport,6.5,6.786842105,5,12.57142857
Countdown Auckland City,8,7.628947368,2.5,10.57142857
Countdown Aviemore Drive,7.5,10.10526316,4,13.07142857
Countdown Birkenhead,8.5,9.818421053,3,8.285714286
Countdown Blockhouse Bay,7,7.102631579,2,13.42857143
Countdown Botany Downs,8,6.747368421,2.5,10.57142857
Countdown Browns Bay,7,11.83947368,3,18.41071429
Countdown Glenfield,7,7.831578947,4,9.125
Countdown Greenlane,8,10.30526316,2.5,11.26785714
Countdown Grey Lynn,9,10.32631579,2,7.071428571
Countdown Grey Lynn Central,7.5,11.67105263,6,12.69642857
Countdown Hauraki Corner,6,7.881578947,3,13.71428571
Countdown Henderson,8,9.147368421,4,16.98214286
Countdown Highland Park,7,10.73684211,2.5,10
Countdown Hobsonville,8,7.684210526,6,15.71428571
Countdown Howick,8.5,10.93421053,3.5,14.5
Countdown Kelston,7,10.06315789,4.5,24.83928571
Countdown Lincoln Road,9,9.168421053,4,17.14285714
Countdown Lynfield,7.5,9.734210526,3,12.57142857
Countdown Lynmall,7,5.607894737,4.5,9.714285714
Countdown Mairangi Bay,8.5,9.734210526,3,14.55357143
Countdown Mangere East,7,6.831578947,3.5,17.26785714
Countdown Mangere Mall,7,8.513157895,2.5,8.696428571
Countdown Manukau,8,7.431578947,5.5,10.98214286
Countdown Manukau Mall,8,8.871052632,2.5,10.98214286
Countdown Manurewa,8,8.463157895,3,11.125
Countdown Meadowbank,7.5,8.155263158,3.5,11.64285714
Countdown Meadowlands,8,8.302631579,2.5,6.571428571
Countdown Metro Albert Street,4,3.713157895,0,3.714285714
Countdown Metro Halsey Street,3,4.263157895,0,2.696428571
Countdown Milford,7,9.526315789,2.5,19.69642857
Countdown Mt Eden,6,8.976315789,4,21.41071429
Countdown Mt Roskill,7.5,6.681578947,3,13.14285714
Countdown Mt Wellington,8,11.98947368,3.5,11.42857143
Countdown Newmarket,6,10.74736842,3,16.55357143
Countdown Northcote,6,5.673684211,3,13.41071429
Countdown Northwest,7.5,7.839473684,2,19.07142857
Countdown Onehunga,7,7.147368421,2.5,18.69642857
Countdown Pakuranga,8,6.555263158,2.5,3.553571429
Countdown Papakura,6.5,7.502631579,3,13.98214286
Countdown Papatoetoe,8,9.778947368,2.5,17.71428571
Countdown Ponsonby,9,12.89210526,3.5,12.26785714
Countdown Pt Chevalier,8,8.618421053,4,9.696428571
Countdown Roselands,8,8.681578947,4,11.125
Countdown St Johns,7,6.157894737,2.5,14.85714286
Countdown St Lukes,6,8.789473684,2,10.69642857
Countdown Sunnynook,8.5,7.568421053,2,12.98214286
Countdown Sylvia Park,7.5,11.62105263,2,13.92857143
Countdown Takanini,8,10.90526316,5,15.92857143
Countdown Takapuna,7,9.252631579,2,14.78571429
Countdown Te Atatu,6,8.621052632,2,11.83928571
Countdown Te Atatu South,8,7.839473684,3,8.410714286
Countdown Three Kings,8,9.839473684,3,14.57142857
Countdown Victoria Street West,8.5,12.64210526,3.5,15.07142857
Countdown Westgate,7,8.871052632,5,12.28571429
FreshChoice Glen Eden,3.5,3.607894737,0,4.410714286
FreshChoice Half Moon Bay,4,3.734210526,0,9.696428571
FreshChoice Mangere Bridge,4.5,4.905263158,0,4.571428571
FreshChoice Otahuhu,3.5,2.407894737,0,5.357142857
FreshChoice Ranui,4.5,3.460526316,0,7.928571429
SuperValue Avondale,4.5,3.944736842,0,5.357142857
SuperValue Flatbush,4.5,3.905263158,0,2.696428571
SuperValue Palomino,5,4.197368421,0,8
SuperValue Papakura,4.5,4.010526316,0,4.982142857
SuperValue Titirangi,4,4.028947368,0,6.5
