Store,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Countdown Airport,6.0,7.5,5.0,7.0,7.0,5.0,0.0
Countdown Auckland City,6.5,8.0,7.0,9.0,8.0,4.0,0.0
Countdown Aviemore Drive,8.5,9.0,6.0,4.0,7.0,4.0,0.0
Countdown Birkenhead,8.0,5.5,8.0,10.0,9.0,4.0,0.0
Countdown Blockhouse Bay,7.0,5.5,7.0,7.5,8.0,2.0,0.0
Countdown Botany Downs,7.5,7.5,8.0,8.5,9.0,4.0,0.0
Countdown Browns Bay,8.0,7.0,6.0,7.5,9.0,4.0,0.0
Countdown Glenfield,8.5,6.0,8.0,4.0,7.0,6.0,0.0
Countdown Greenlane,7.0,11.0,8.0,6.0,9.0,4.0,0.0
Countdown Grey Lynn,7.5,9.0,10.0,6.0,11.0,3.0,0.0
Countdown Grey Lynn Central,6.5,9.0,6.0,8.0,10.0,6.0,0.0
Countdown Hauraki Corner,7.5,5.5,8.0,6.0,9.0,4.0,0.0
Countdown Henderson,9.5,8.5,6.0,5.0,8.0,5.0,0.0
Countdown Highland Park,10.0,5.5,7.0,7.5,7.0,4.0,0.0
Countdown Hobsonville,10.0,8.5,8.0,7.5,8.0,6.0,0.0
Countdown Howick,7.5,9.5,8.0,8.0,9.0,4.0,0.0
Countdown Kelston,6.0,8.0,6.0,7.5,9.0,5.0,0.0
Countdown Lincoln Road,7.5,10.0,7.0,7.0,9.0,4.0,0.0
Countdown Lynfield,10.5,7.0,7.0,8.0,6.0,6.0,0.0
Countdown Lynmall,7.0,8.5,7.0,4.5,6.0,5.0,0.0
Countdown Mairangi Bay,7.0,8.0,8.0,10.5,9.0,5.0,0.0
Countdown Mangere East,7.5,7.0,7.0,8.0,8.0,4.0,0.0
Countdown Mangere Mall,8.0,5.0,9.0,7.0,7.0,3.0,0.0
Countdown Manukau,7.5,8.5,8.0,7.0,5.0,6.0,0.0
Countdown Manukau Mall,8.0,10.5,8.0,5.5,8.0,5.0,0.0
Countdown Manurewa,8.0,7.0,7.0,8.0,11.0,4.0,0.0
Countdown Meadowbank,9.0,6.0,8.0,7.5,9.0,4.0,0.0
Countdown Meadowlands,8.0,9.5,5.0,7.0,9.0,3.0,0.0
Countdown Metro Albert Street,4.0,5.0,3.0,3.5,3.0,0.0,0.0
Countdown Metro Halsey Street,3.5,4.5,3.0,3.0,3.0,0.0,0.0
Countdown Milford,10.0,6.0,10.0,6.0,7.0,3.0,0.0
Countdown Mt Eden,7.0,7.0,10.0,5.0,6.0,5.0,0.0
Countdown Mt Roskill,8.5,8.5,5.0,7.0,10.0,5.0,0.0
Countdown Mt Wellington,9.0,8.0,7.0,5.5,8.0,6.0,0.0
Countdown Newmarket,5.5,5.5,8.0,4.5,9.0,4.0,0.0
Countdown Northcote,8.0,6.0,6.0,6.0,9.0,6.0,0.0
Countdown Northwest,8.0,7.5,7.0,5.5,8.0,6.0,0.0
Countdown Onehunga,5.5,7.0,7.0,9.0,9.0,6.0,0.0
Countdown Pakuranga,8.0,8.0,8.0,6.5,10.0,4.0,0.0
Countdown Papakura,7.5,7.0,6.0,6.5,5.0,3.0,0.0
Countdown Papatoetoe,9.0,10.5,8.0,7.5,7.0,3.0,0.0
Countdown Ponsonby,7.0,9.5,7.0,8.0,12.0,4.0,0.0
Countdown Pt Chevalier,6.5,8.5,8.0,9.0,8.0,5.0,0.0
Countdown Roselands,8.0,9.5,7.0,8.5,7.0,6.0,0.0
Countdown St Johns,9.5,6.0,5.0,7.5,6.0,5.0,0.0
Countdown St Lukes,7.5,6.0,6.0,5.0,7.0,4.0,0.0
Countdown Sunnynook,9.5,9.0,8.0,6.5,7.0,2.0,0.0
Countdown Sylvia Park,8.5,7.5,5.0,9.0,7.0,2.0,0.0
Countdown Takanini,7.0,9.5,8.0,4.5,8.0,5.0,0.0
Countdown Takapuna,7.0,7.0,5.0,6.5,8.0,2.0,0.0
Countdown Te Atatu,8.5,9.5,6.0,6.0,8.0,2.0,0.0
Countdown Te Atatu South,8.5,8.5,7.0,6.0,9.0,5.0,0.0
Countdown Three Kings,9.5,11.5,7.0,7.0,7.0,4.0,0.0
Countdown Victoria Street West,11.0,9.5,8.0,7.0,10.0,5.0,0.0
Countdown Westgate,6.5,8.5,9.0,7.5,7.0,6.0,0.0
FreshChoice Glen Eden,5.0,4.0,3.0,2.5,3.0,0.0,0.0
FreshChoice Half Moon Bay,3.5,4.0,4.0,3.0,4.0,0.0,0.0
FreshChoice Mangere Bridge,5.5,4.0,4.0,2.0,5.0,0.0,0.0
FreshChoice Otahuhu,4.0,2.0,4.0,2.5,5.0,0.0,0.0
FreshChoice Ranui,3.5,4.0,5.0,5.0,5.0,0.0,0.0
SuperValue Avondale,3.5,5.0,5.0,4.0,4.0,0.0,0.0
SuperValue Flatbush,5.0,5.5,4.0,3.0,5.0,0.0,0.0
SuperValue Palomino,5.5,5.0,3.0,5.0,4.0,0.0,0.0
SuperValue Papakura,5.0,5.0,4.0,3.5,5.0,0.0,0.0
SuperValue Titirangi,3.5,4.5,4.0,3.0,4.0,0.0,0.0
