Store,Weekday_mean,Weekend_mean,Weekday_variance,Weekend_variance
Countdown Airport,7,1.5,3.884210526,7.125
Countdown Auckland City,8,1,4.260526316,4.214285714
Countdown Aviemore Drive,8,1,6.221052632,5.714285714
Countdown Birkenhead,8.5,1,6.631578947,6.410714286
Countdown Blockhouse Bay,7.5,1,3.957894737,1.553571429
Countdown Botany Downs,8,1,3.221052632,4.214285714
Countdown Browns Bay,7.5,1,9.186842105,6.410714286
Countdown Glenfield,7,1.5,4.786842105,7.071428571
Countdown Greenlane,8.5,1,7.502631579,3.928571429
Countdown Grey Lynn,9,1,7.515789474,3.428571429
Countdown Grey Lynn Central,8.5,2,7.694736842,9.071428571
Countdown Hauraki Corner,7,1,5.694736842,6.410714286
Countdown Henderson,8,1.5,5.778947368,6.125
Countdown Highland Park,7,1,6.45,2.553571429
Countdown Hobsonville,8.5,3,3.936842105,10.28571429
Countdown Howick,9,1.5,6.05,4.857142857
Countdown Kelston,7,1,8.239473684,5.428571429
Countdown Lincoln Road,9,2,5.936842105,6.214285714
Countdown Lynfield,8,1,4.871052632,5.071428571
Countdown Lynmall,7,1,2.260526316,5.428571429
Countdown Mairangi Bay,9,1,4.642105263,4.214285714
Countdown Mangere East,8,1.5,3.418421053,3.642857143
Countdown Mangere Mall,7,1,5.923684211,5.267857143
Countdown Manukau,8,3,4.786842105,10.28571429
Countdown Manukau Mall,8,1,5.186842105,4.982142857
Countdown Manurewa,8,1,3.628947368,5.071428571
Countdown Meadowbank,8,1.5,5.578947368,5.553571429
Countdown Meadowlands,8,1,4.660526316,2.857142857
Countdown Metro Albert Street,4.5,0,2.092105263,0
Countdown Metro Halsey Street,3.5,0,2.871052632,0
Countdown Milford,9,1,6.828947368,4.785714286
Countdown Mt Eden,8,1.5,7.713157895,7.125
Countdown Mt Roskill,8,1,3.473684211,6.410714286
Countdown Mt Wellington,8,1,6.681578947,5.267857143
Countdown Newmarket,6.5,1,8.052631579,3.410714286
Countdown Northcote,7,1.5,3.102631579,7.071428571
Countdown Northwest,8,1,4.621052632,4.553571429
Countdown Onehunga,7,1,4.642105263,5.267857143
Countdown Pakuranga,8,1,4.260526316,3.410714286
Countdown Papakura,7,1.5,5.431578947,7.071428571
Countdown Papatoetoe,8,1,4.828947368,2.553571429
Countdown Ponsonby,9,1,7.607894737,3.410714286
Countdown Pt Chevalier,8,1.5,5.010526316,6.214285714
Countdown Roselands,8,1.5,4.576315789,7.125
Countdown St Johns,7,1,3.852631579,4.214285714
Countdown St Lukes,6,1,6.260526316,3.142857143
Countdown Sunnynook,9,1,3.526315789,3.982142857
Countdown Sylvia Park,8,1,8.168421053,4.785714286
Countdown Takanini,8,1.5,7.157894737,6.214285714
Countdown Takapuna,8,1,5.378947368,2.214285714
Countdown Te Atatu,8,1,5.726315789,5.839285714
Countdown Te Atatu South,8,1,4.305263158,4.214285714
Countdown Three Kings,8.5,1,5.523684211,5.714285714
Countdown Victoria Street West,9,1,7.094736842,5.428571429
Countdown Westgate,8,2.5,5.397368421,8.785714286
FreshChoice Glen Eden,4,0,2.094736842,0
FreshChoice Half Moon Bay,4,0,2.568421053,0
FreshChoice Mangere Bridge,5,0,3.305263158,0
FreshChoice Otahuhu,4,0,1.355263158,0
FreshChoice Ranui,5,0,2.302631579,0
SuperValue Avondale,5,0,2.155263158,0
SuperValue Flatbush,4.5,0,1.923684211,0
SuperValue Palomino,5,0,2.344736842,0
SuperValue Papakura,5,0,2.092105263,0
SuperValue Titirangi,4,0,2.765789474,0
